ESTIMATE_SOURCE,PROGRAM,LOGISTICAL_AREA,PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR,LINK,Include (20),Include (15)
Creel,Barkley Sound,Offshore Barkley,Area 123,2012,6,Released,CHINOOK SALMON,124,914,200.22,Creel-2012-6-Area 123,N,N
Creel,Clayoquot Sound,Offshore Clayoquot,Area 124,2012,6,Kept,CHINOOK SALMON,124,1285,186.74,Creel-2012-6-Area 124,N,N
Creel,Clayoquot Sound,Offshore Clayoquot,Area 124,2012,6,Released,CHINOOK SALMON,124,920,247.09,Creel-2012-6-Area 124,N,N
Creel,Nootka Sound,Offshore Nootka,Area 125,2012,6,Kept,CHINOOK SALMON,124,1020,0.00,Creel-2012-6-Area 125,N,N
Creel,Nootka Sound,Offshore Nootka,Area 125,2012,6,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-6-Area 125,N,N
Log Estimate,Kyuquot Sound,Offshore Kyuquot,Area 126,2012,6,Kept,CHINOOK SALMON,124,1488,0.00,Log Estimate-2012-6-Area 126,N,N
Log Estimate,Kyuquot Sound,Offshore Kyuquot,Area 126,2012,6,Released,CHINOOK SALMON,124,4164,0.00,Log Estimate-2012-6-Area 126,N,N
Creel,Quatsino Sound,Offshore Quatsino,Area 127,2012,6,Kept,CHINOOK SALMON,124,199,97.43,Creel-2012-6-Area 127,N,N
Creel,Quatsino Sound,Offshore Quatsino,Area 127,2012,6,Released,CHINOOK SALMON,124,101,63.74,Creel-2012-6-Area 127,N,N
Creel,Georgia Strait,Campbell River,Area 13,2012,6,Kept,CHINOOK SALMON,124,1154,288.51,Creel-2012-6-Area 13,Y,Y
Creel,Georgia Strait,Campbell River,Area 13,2012,6,Released,CHINOOK SALMON,124,716,205.05,Creel-2012-6-Area 13,Y,Y
Creel,Georgia Strait,Comox,Area 14,2012,6,Kept,CHINOOK SALMON,124,1497,316.56,Creel-2012-6-Area 14,Y,Y
Creel,Georgia Strait,Comox,Area 14,2012,6,Released,CHINOOK SALMON,124,466,145.03,Creel-2012-6-Area 14,Y,Y
Creel,Georgia Strait,Powell River,Area 15,2012,6,Kept,CHINOOK SALMON,124,80,39.63,Creel-2012-6-Area 15,N,N
Creel,Georgia Strait,Powell River,Area 15,2012,6,Released,CHINOOK SALMON,124,1478,556.88,Creel-2012-6-Area 15,N,N
Creel,Georgia Strait,Sunshine Coast,Area 16,2012,6,Kept,CHINOOK SALMON,124,34,17.61,Creel-2012-6-Area 16,N,N
Creel,Georgia Strait,Sunshine Coast,Area 16,2012,6,Released,CHINOOK SALMON,124,37,33.87,Creel-2012-6-Area 16,N,N
Creel,Georgia Strait,Nanaimo,Area 17,2012,6,Kept,CHINOOK SALMON,124,1948,454.98,Creel-2012-6-Area 17,Y,Y
Creel,Georgia Strait,Nanaimo,Area 17,2012,6,Released,CHINOOK SALMON,124,1573,503.05,Creel-2012-6-Area 17,Y,Y
Creel,Georgia Strait,Gulf Islands,Area 18,2012,6,Kept,CHINOOK SALMON,124,100,33.21,Creel-2012-6-Area 18,N,N
Creel,Georgia Strait,Gulf Islands,Area 18,2012,6,Released,CHINOOK SALMON,124,77,32.01,Creel-2012-6-Area 18,N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2012,6,Kept,CHINOOK SALMON,124,196,75.90,Creel-2012-6-Area 19 (JDF),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2012,6,Released,CHINOOK SALMON,124,109,56.02,Creel-2012-6-Area 19 (JDF),N,N
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2012,6,Kept,CHINOOK SALMON,124,1961,299.06,Creel-2012-6-Area 20 (East),N,N
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2012,6,Released,CHINOOK SALMON,124,962,456.85,Creel-2012-6-Area 20 (East),N,N
Creel,Renfrew/Swiftsure,Juan de Fuca,Area 20 (West),2012,6,Kept,CHINOOK SALMON,124,542,66.37,Creel-2012-6-Area 20 (West),N,N
Creel,Renfrew/Swiftsure,Juan de Fuca,Area 20 (West),2012,6,Released,CHINOOK SALMON,124,295,94.15,Creel-2012-6-Area 20 (West),N,N
Creel,Renfrew/Swiftsure,Nitinat,Area 21,2012,6,Kept,CHINOOK SALMON,124,0,0.00,Creel-2012-6-Area 21,N,N
Creel,Renfrew/Swiftsure,Nitinat,Area 21,2012,6,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-6-Area 21,N,N
Creel,Barkley Sound,Alberni Inlet,Area 23 (Alberni Canal),2012,6,Kept,CHINOOK SALMON,124,0,0.00,Creel-2012-6-Area 23 (Alberni Canal),Y,Y
Creel,Barkley Sound,Alberni Inlet,Area 23 (Alberni Canal),2012,6,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-6-Area 23 (Alberni Canal),Y,Y
Creel,Barkley Sound,Barkley Sound,Area 23 (Barkley),2012,6,Kept,CHINOOK SALMON,124,3147,526.71,Creel-2012-6-Area 23 (Barkley),N,N
Creel,Barkley Sound,Barkley Sound,Area 23 (Barkley),2012,6,Released,CHINOOK SALMON,124,1967,879.10,Creel-2012-6-Area 23 (Barkley),N,N
Creel,Clayoquot Sound,Clayoquot Sound,Area 24,2012,6,Kept,CHINOOK SALMON,124,245,64.59,Creel-2012-6-Area 24,N,N
Creel,Clayoquot Sound,Clayoquot Sound,Area 24,2012,6,Released,CHINOOK SALMON,124,91,44.49,Creel-2012-6-Area 24,N,N
Creel,Nootka Sound,Nootka Snd. / Esperanza Inlet,Area 25,2012,6,Kept,CHINOOK SALMON,124,180,0.00,Creel-2012-6-Area 25,N,N
Creel,Nootka Sound,Nootka Snd. / Esperanza Inlet,Area 25,2012,6,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-6-Area 25,N,N
Log Estimate,Kyuquot Sound,Kyuquot Sound,Area 26,2012,6,Kept,CHINOOK SALMON,124,150,0.00,Log Estimate-2012-6-Area 26,N,N
Log Estimate,Kyuquot Sound,Kyuquot Sound,Area 26,2012,6,Released,CHINOOK SALMON,124,256,0.00,Log Estimate-2012-6-Area 26,N,N
Creel,Quatsino Sound,Quatsino Sound,Area 27,2012,6,Kept,CHINOOK SALMON,124,287,45.64,Creel-2012-6-Area 27,N,N
Creel,Quatsino Sound,Quatsino Sound,Area 27,2012,6,Released,CHINOOK SALMON,124,139,38.23,Creel-2012-6-Area 27,N,N
Creel,Georgia Strait,Howe Sound,Area 28,2012,6,Kept,CHINOOK SALMON,124,0,0.00,Creel-2012-6-Area 28,N,N
Creel,Georgia Strait,Howe Sound,Area 28,2012,6,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-6-Area 28,N,N
Creel,Georgia Strait,Vancouver,Area 29,2012,6,Kept,CHINOOK SALMON,124,225,89.34,Creel-2012-6-Area 29,N,N
Creel,Georgia Strait,Vancouver,Area 29,2012,6,Released,CHINOOK SALMON,124,64,34.02,Creel-2012-6-Area 29,N,N
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2012,6,Kept,CHINOOK SALMON,124,100,0.00,Historic Estimate-2012-6-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2012,6,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2012-6-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2012,6,Kept,CHINOOK SALMON,124,4850,0.00,Historic Estimate-2012-6-Area 2W,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2012,6,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2012-6-Area 2W,#N/A,#N/A
Creel,Prince Rupert,PFMA 3,Area 3,2012,6,Kept,CHINOOK SALMON,124,1110,194.77,Creel-2012-6-Area 3,#N/A,#N/A
Creel,Prince Rupert,PFMA 3,Area 3,2012,6,Released,CHINOOK SALMON,124,53,23.65,Creel-2012-6-Area 3,#N/A,#N/A
Creel,Prince Rupert,PFMA 4,Area 4,2012,6,Kept,CHINOOK SALMON,124,1394,212.57,Creel-2012-6-Area 4,#N/A,#N/A
Creel,Prince Rupert,PFMA 4,Area 4,2012,6,Released,CHINOOK SALMON,124,128,45.49,Creel-2012-6-Area 4,#N/A,#N/A
Historic Estimate,Central Coast,PFMA 6,Area 6,2012,6,Kept,CHINOOK SALMON,124,569,0.00,Historic Estimate-2012-6-Area 6,#N/A,#N/A
Historic Estimate,Central Coast,PFMA 6,Area 6,2012,6,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2012-6-Area 6,#N/A,#N/A
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2012,7,Kept,CHINOOK SALMON,124,8000,0.00,Historic Estimate-2012-7-Area 1,#N/A,#N/A
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2012,7,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2012-7-Area 1,#N/A,#N/A
Creel,Johnstone Strait,Queen Charlotte Sound,Area 11,2012,7,Kept,CHINOOK SALMON,124,1630,253.22,Creel-2012-7-Area 11,Y,Y
Creel,Johnstone Strait,Queen Charlotte Sound,Area 11,2012,7,Released,CHINOOK SALMON,124,727,180.30,Creel-2012-7-Area 11,Y,Y
Creel,Johnstone Strait,Johnstone Strait,Area 12,2012,7,Kept,CHINOOK SALMON,124,2492,268.12,Creel-2012-7-Area 12,Y,Y
Creel,Johnstone Strait,Johnstone Strait,Area 12,2012,7,Released,CHINOOK SALMON,124,3756,539.47,Creel-2012-7-Area 12,Y,Y
Creel,Renfrew/Swiftsure,Swiftsure Bank,Area 121,2012,7,Kept,CHINOOK SALMON,124,5644,1118.30,Creel-2012-7-Area 121,Y,Y
Creel,Renfrew/Swiftsure,Swiftsure Bank,Area 121,2012,7,Released,CHINOOK SALMON,124,1645,590.90,Creel-2012-7-Area 121,Y,Y
Creel,Barkley Sound,Offshore Barkley,Area 123,2012,7,Kept,CHINOOK SALMON,124,6683,1088.02,Creel-2012-7-Area 123,Y,Y
Creel,Barkley Sound,Offshore Barkley,Area 123,2012,7,Released,CHINOOK SALMON,124,4470,887.30,Creel-2012-7-Area 123,Y,Y
Creel,Clayoquot Sound,Offshore Clayoquot,Area 124,2012,7,Kept,CHINOOK SALMON,124,3734,559.76,Creel-2012-7-Area 124,Y,Y
Creel,Clayoquot Sound,Offshore Clayoquot,Area 124,2012,7,Released,CHINOOK SALMON,124,5022,1063.41,Creel-2012-7-Area 124,Y,Y
Creel,Nootka Sound,Offshore Nootka,Area 125,2012,7,Kept,CHINOOK SALMON,124,2242,454.58,Creel-2012-7-Area 125,Y,Y
Creel,Nootka Sound,Offshore Nootka,Area 125,2012,7,Released,CHINOOK SALMON,124,2290,1050.59,Creel-2012-7-Area 125,Y,Y
Log Estimate,Kyuquot Sound,Offshore Kyuquot,Area 126,2012,7,Kept,CHINOOK SALMON,124,2671,0.00,Log Estimate-2012-7-Area 126,N,N
Log Estimate,Kyuquot Sound,Offshore Kyuquot,Area 126,2012,7,Released,CHINOOK SALMON,124,5374,0.00,Log Estimate-2012-7-Area 126,N,N
Creel,Quatsino Sound,Offshore Quatsino,Area 127,2012,7,Kept,CHINOOK SALMON,124,1912,263.73,Creel-2012-7-Area 127,Y,Y
Creel,Quatsino Sound,Offshore Quatsino,Area 127,2012,7,Released,CHINOOK SALMON,124,1141,225.32,Creel-2012-7-Area 127,Y,Y
Creel,Georgia Strait,Campbell River,Area 13,2012,7,Kept,CHINOOK SALMON,124,5001,809.43,Creel-2012-7-Area 13,Y,Y
Creel,Georgia Strait,Campbell River,Area 13,2012,7,Released,CHINOOK SALMON,124,3155,536.84,Creel-2012-7-Area 13,Y,Y
Creel,Georgia Strait,Comox,Area 14,2012,7,Kept,CHINOOK SALMON,124,438,97.19,Creel-2012-7-Area 14,Y,Y
Creel,Georgia Strait,Comox,Area 14,2012,7,Released,CHINOOK SALMON,124,2077,452.78,Creel-2012-7-Area 14,Y,Y
Creel,Georgia Strait,Powell River,Area 15,2012,7,Kept,CHINOOK SALMON,124,658,169.39,Creel-2012-7-Area 15,N,N
Creel,Georgia Strait,Powell River,Area 15,2012,7,Released,CHINOOK SALMON,124,2012,508.48,Creel-2012-7-Area 15,N,N
Creel,Georgia Strait,Sunshine Coast,Area 16,2012,7,Kept,CHINOOK SALMON,124,330,124.36,Creel-2012-7-Area 16,N,N
Creel,Georgia Strait,Sunshine Coast,Area 16,2012,7,Released,CHINOOK SALMON,124,1196,569.47,Creel-2012-7-Area 16,N,N
Creel,Georgia Strait,Nanaimo,Area 17,2012,7,Kept,CHINOOK SALMON,124,158,53.71,Creel-2012-7-Area 17,Y,Y
Creel,Georgia Strait,Nanaimo,Area 17,2012,7,Released,CHINOOK SALMON,124,684,174.47,Creel-2012-7-Area 17,Y,Y
Creel,Georgia Strait,Gulf Islands,Area 18,2012,7,Kept,CHINOOK SALMON,124,97,37.26,Creel-2012-7-Area 18,Y,Y
Creel,Georgia Strait,Gulf Islands,Area 18,2012,7,Released,CHINOOK SALMON,124,100,52.37,Creel-2012-7-Area 18,Y,Y
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2012,7,Kept,CHINOOK SALMON,124,0,0.00,Creel-2012-7-Area 19 (GS),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2012,7,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-7-Area 19 (GS),N,N
