PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR
Area 12,2013,6,Released,CHINOOK SALMON,124,483,100.77
Area 121,2013,6,Kept,CHINOOK SALMON,124,1784,605.12
Area 121,2013,6,Released,CHINOOK SALMON,124,2037,808.24
Area 123,2013,6,Kept,CHINOOK SALMON,124,3772,855.75
Area 123,2013,6,Released,CHINOOK SALMON,124,1853,548.83
Area 124,2013,6,Kept,CHINOOK SALMON,124,2121,591.22
Area 124,2013,6,Released,CHINOOK SALMON,124,1031,281.13
Area 127,2013,6,Kept,CHINOOK SALMON,124,707,180.35
Area 127,2013,6,Released,CHINOOK SALMON,124,114,43.59
Area 13,2013,6,Kept,CHINOOK SALMON,124,4593,1051.66
Area 13,2013,6,Released,CHINOOK SALMON,124,6046,1557.76
Area 14,2013,6,Kept,CHINOOK SALMON,124,4373,812.25
Area 14,2013,6,Released,CHINOOK SALMON,124,9749,1686.76
Area 17,2013,6,Kept,CHINOOK SALMON,124,1695,306.94
Area 17,2013,6,Released,CHINOOK SALMON,124,16876,3989.05
Area 18,2013,6,Kept,CHINOOK SALMON,124,51,25.77
Area 18,2013,6,Released,CHINOOK SALMON,124,63,35.03
Area 19 (GS),2013,6,Kept,CHINOOK SALMON,124,0,0.00
Area 19 (GS),2013,6,Released,CHINOOK SALMON,124,7,5.93
Area 19 (JDF),2013,6,Kept,CHINOOK SALMON,124,647,144.52
Area 19 (JDF),2013,6,Released,CHINOOK SALMON,124,105,52.43
Area 20 (East),2013,6,Kept,CHINOOK SALMON,124,2737,415.82
Area 20 (East),2013,6,Released,CHINOOK SALMON,124,2042,522.25
Area 20 (West),2013,6,Kept,CHINOOK SALMON,124,1543,226.49
Area 20 (West),2013,6,Released,CHINOOK SALMON,124,1200,295.74
Area 21,2013,6,Kept,CHINOOK SALMON,124,38,9.67
Area 21,2013,6,Released,CHINOOK SALMON,124,39,13.10
Area 23 (Barkley),2013,6,Kept,CHINOOK SALMON,124,3046,404.46
Area 23 (Barkley),2013,6,Released,CHINOOK SALMON,124,1460,265.50
Area 24,2013,6,Kept,CHINOOK SALMON,124,811,181.35
Area 24,2013,6,Released,CHINOOK SALMON,124,0,0.00
Area 27,2013,6,Kept,CHINOOK SALMON,124,287,65.81
Area 27,2013,6,Released,CHINOOK SALMON,124,122,30.94
Area 3,2013,6,Kept,CHINOOK SALMON,124,372,141.38
Area 3,2013,6,Released,CHINOOK SALMON,124,36,37.87
Area 11,2013,7,Kept,CHINOOK SALMON,124,1860,268.22
Area 11,2013,7,Released,CHINOOK SALMON,124,634,117.31
Area 12,2013,7,Kept,CHINOOK SALMON,124,2272,210.30
Area 12,2013,7,Released,CHINOOK SALMON,124,2960,422.87
Area 121,2013,7,Kept,CHINOOK SALMON,124,3304,536.57
Area 121,2013,7,Released,CHINOOK SALMON,124,2850,619.40
